# ID,targets
4,1
7,-1
10,-1
14,-1
15,1
16,-1
17,1
22,-1
26,-1
28,-1
39,1
46,-1
51,1
57,1
58,-1
63,1
65,-1
67,-1
77,1
82,1
91,-1
97,-1
99,1
104,1
105,-1
110,-1
114,1
115,-1
124,1
125,1
129,-1
130,1
132,-1
135,-1
138,-1
162,-1
168,1
171,1
183,1
185,-1
191,1
193,1
195,-1
203,1
204,1
207,1
208,1
213,1
218,-1
238,1
240,-1
242,-1
244,1
246,-1
250,1
255,-1
260,-1
261,-1
262,1
276,1
280,1
290,-1
296,1
298,1
301,1
308,1
309,1
310,1
315,-1
320,-1
324,1
326,-1
328,-1
334,-1
338,-1
339,1
341,1
345,1
349,1
356,-1
362,1
382,1
388,1
391,-1
392,1
398,-1
407,-1
422,-1
425,-1
426,-1
427,-1
428,-1
444,1
458,1
464,-1
467,1
469,1
472,1
476,1
485,1
494,1
496,-1
497,1
503,1
504,1
509,-1
510,1
513,-1
520,-1
526,1
529,-1
532,1
538,1
540,1
541,-1
543,1
548,-1
558,1
565,1
568,-1
575,-1
580,1
582,-1
585,-1
599,-1
603,1
606,1
617,1
628,-1
629,-1
630,1
632,1
644,1
657,-1
658,-1
659,-1
664,1
665,1
669,-1
672,1
680,1
691,1
695,-1
696,-1
701,-1
706,1
714,-1
715,1
721,-1
727,1
728,1
731,-1
734,1
780,-1
787,-1
795,1
799,-1
804,1
807,-1
811,1
818,1
823,1
829,-1
846,1
849,-1
850,-1
851,-1
855,-1
857,-1
860,1
869,-1
870,-1
880,1
882,-1
885,-1
890,-1
895,1
900,1
915,-1
916,1
918,-1
925,1
931,-1
933,1
945,-1
950,-1
957,-1
959,-1
962,-1
969,-1
971,1
972,1
973,-1
976,1
989,1
992,1
1003,1
1006,-1
1009,-1
1020,1
1023,1
1038,1
1039,1
1042,1
1051,1
1054,1
1063,-1
1066,-1
1071,1
1076,1
1077,1
1091,1
1092,1
1093,-1
1094,-1
1111,1
1113,-1
1114,1
1115,1
1117,1
1128,1
1136,1
1137,1
1143,1
1145,-1
1154,-1
1162,1
1164,-1
1169,1
1171,1
1176,-1
1178,-1
1190,-1
1193,-1
1195,1
1196,1
1199,-1
1202,-1
1203,-1
1218,1
1219,-1
1222,1
1223,-1
1225,-1
1229,-1
1235,1
1237,1
1243,1
1244,1
1249,-1
1259,1
1261,1
1262,1
1270,-1
1273,1
1275,1
1280,-1
1292,-1
1294,-1
1302,-1
1307,1
1323,-1
1329,-1
1332,1
1334,-1
1348,-1
1352,-1
1355,1
1369,1
1372,-1
1374,1
1387,1
1390,1
1394,1
1398,-1
1404,1
1405,1
1411,1
1419,1
1423,-1
1424,-1
1426,-1
1428,1
1429,-1
1431,-1
1436,-1
1443,-1
1450,-1
1455,1
1462,-1
1467,-1
1478,-1
1479,1
1480,-1
1481,1
1483,1
1485,1
1489,1
1491,1
1492,-1
1496,1
1504,-1
1507,-1
1517,-1
1528,1
1536,1
1540,1
1541,-1
1543,1
1544,-1
1558,-1
1559,1
1570,1
1572,-1
1581,-1
1582,1
1585,-1
1590,-1
1592,1
1595,-1
1607,1
1609,-1
1611,1
1620,-1
1625,1
1636,-1
1637,1
1639,1
1640,1
1642,1
1647,1
1651,1
1654,-1
1659,1
1660,1
1666,1
1671,1
1672,1
1681,1
1710,1
1713,1
1715,1
1726,-1
1731,1
1745,-1
1750,1
1753,1
1760,-1
1769,1
1770,-1
1776,1
1777,-1
1783,1
1786,-1
1793,-1
1796,1
1798,1
1800,-1
1808,1
1815,-1
1817,1
1818,1
1821,1
1829,-1
1838,-1
1845,1
1850,1
1852,1
1853,1
1854,1
1861,-1
1866,-1
1868,1
1873,1
1874,-1
1875,-1
1878,-1
1885,-1
1896,1
1899,-1
1901,1
1907,-1
1908,-1
1910,-1
1912,1
1922,1
1928,-1
1929,-1
1930,1
1935,-1
1936,-1
1945,1
1946,-1
1951,-1
1971,-1
1972,1
1980,-1
1981,1
1982,1
1986,-1
1989,-1
1995,-1
1997,-1
2009,-1
2010,-1
2016,-1
2023,-1
2024,1
2025,1
2042,-1
2044,-1
2045,-1
2046,1
2049,1
2051,1
2053,1
2054,-1
2059,-1
2070,1
2076,1
2077,1
2079,1
2084,1
2087,-1
2088,1
2090,-1
2099,1
2102,1
2103,1
2105,-1
2107,1
2108,1
2109,-1
2113,-1
2123,1
2127,-1
2133,1
2134,1
2135,1
2137,-1
2144,1
2151,1
2155,-1
2156,-1
2160,1
2164,1
2165,1
2173,1
2176,1
2182,1
2189,-1
2191,-1
2197,1
2206,-1
2211,-1
2212,1
2222,1
2228,1
2238,1
2239,-1
2242,-1
2243,-1
2245,-1
2248,1
2256,-1
2257,1
2260,1
2265,1
2287,-1
2300,-1
2307,-1
2308,-1
2310,1
2316,1
2320,1
2329,1
2330,-1
2336,-1
2337,1
2339,1
2347,-1
2349,-1
2356,1
2360,1
2364,1
2372,-1
2376,1
2385,1
2390,-1
2397,1
2404,-1
2408,1
2415,1
2425,1
2427,1
2431,1
2443,1
2445,1
2454,-1
2467,-1
2469,1
2472,1
2479,1
2486,-1
2494,-1
2495,-1
2496,1
2511,1
2518,-1
2519,-1
2530,1
2532,-1
2535,1
2546,1
2548,1
2556,1
2574,-1
2576,1
2584,1
2585,1
2599,-1
2605,-1
2608,1
2610,-1
2612,-1
2615,1
2622,1
2624,1
2628,-1
2629,1
2630,-1
2636,-1
2637,1
2643,1
2646,-1
2647,1
2649,-1
2655,-1
2658,-1
2660,1
2671,-1
2681,-1
2682,-1
2684,-1
2690,-1
2695,-1
2696,-1
2701,1
2716,1
2729,-1
2730,-1
2733,-1
2734,1
2739,-1
2747,-1
2749,1
2751,1
2753,-1
2757,1
2775,1
2777,1
2781,1
2785,-1
2788,-1
2791,-1
2794,-1
2802,1
2807,1
2810,-1
2819,-1
2821,-1
2823,1
2825,-1
2834,1
2838,-1
2839,-1
2841,1
2847,1
2849,-1
2856,1
2861,-1
2862,-1
2871,1
2878,1
2879,-1
2890,-1
2892,-1
2898,-1
2901,-1
2906,1
2922,-1
2923,1
2927,-1
2928,-1
2932,1
2937,-1
2938,1
2939,1
2942,-1
2948,-1
2949,-1
2952,1
2953,1
2956,-1
2958,1
2965,1
2966,1
2969,-1
2977,1
2980,1
2983,-1
2990,-1
2991,-1
2993,1
2998,-1
3000,1
3003,1
3011,1
3033,1
3036,-1
3043,1
3049,-1
3055,-1
3056,-1
3057,1
3059,-1
3068,-1
3077,-1
3078,1
3079,1
3082,1
3098,-1
3099,-1
3103,1
3106,-1
3108,1
3112,-1
3119,-1
3120,-1
3127,1
3131,-1
3132,1
3135,-1
3142,-1
3143,1
3145,1
3161,-1
3162,-1
3164,-1
3171,1
3172,1
3185,-1
3192,1
3201,-1
3202,-1
3211,-1
3216,-1
3218,1
3225,-1
3230,-1
3235,-1
3239,-1
3244,-1
3251,-1
3256,-1
3257,-1
3266,1
3274,1
3285,1
3286,1
3289,-1
3290,-1
3291,-1
3294,1
3300,-1
3304,-1
3308,1
3313,1
3315,-1
3319,1
3321,-1
3325,1
3328,1
3332,1
3336,1
3338,1
3341,1
3354,1
3372,1
3377,1
3382,1
3385,-1
3388,-1
3391,-1
3395,1
3397,1
3400,1
3409,1
3416,1
3435,-1
3436,1
3439,1
3448,-1
3449,1
3452,1
3457,1
3458,1
3459,1
3463,-1
3464,-1
3470,-1
3472,1
3477,-1
3482,-1
3492,-1
3495,1
3498,1
3508,1
3511,-1
3515,1
3516,-1
3519,-1
3523,1
3530,-1
3533,1
3537,1
3538,-1
3540,1
3546,1
3547,1
3551,1
3555,1
3558,1
3563,-1
3573,-1
3577,1
3579,1
3580,1
3586,1
3594,-1
3596,1
3598,1
3602,-1
3603,1
3604,-1
3606,1
3613,-1
3618,-1
3630,1
3638,1
3643,-1
3645,-1
3646,-1
3649,-1
3654,1
3658,-1
